Estudiante 1,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Estudiante 2,3.0,1.0,1.0,2.0,4.0,2.0,2.5,1.0,3.0,4.0
Estudiante 3,5.0,1.0,2.0,3.0,4.5,4.0,3.0,4.2,4.4,4.5
Estudiante 4,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.5,5.0,1.0
Estudiante 5,3.2,4.6,4.2,1.3,1.5,5.0,5.0,1.0,1.0,4.8
Estudiante 6,1.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,null
Estudiante 7,3.0,5.0,null,5.0,4.0,1.0,5.0,4.0,2.0,1.0
Estudiante 8,5.0,4.0,2.0,1.7,2.0,1.0,1.0,5.0,1.0,0.2
Estudiante 9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0
Estudiante 10,null,null,null,null,null,null,null,null,null,null
